05:58:25                        Запускается сервис Монитора Установки...
05:58:26                        Версия сервиса: 0x105
05:58:26                        Запускаем 'setup.exe'...
05:58:26                        Монитор установки запущен
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Experimental\BackChannel
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Experimental\CharacterAI
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Experimental\GeometryCache
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Experimental\HTML5Networking
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Media\AvfMedia
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Media\ImgMedia
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Media\LinearTimecode
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Media\MediaCompositing
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Media\WmfMedia
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Messaging\TcpMessaging
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Messaging\UdpMessaging
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\MovieScene\ActorSequence
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\NetcodeUnitTest\NetcodeUnitTest
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystemNull
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystemSteam
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystemUtils
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Config
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Content
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Config\Localization
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Content\Localization
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Content\Localization\OnlineSubsystem
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Content\Localization\OnlineSubsystem\ar
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Content\Localization\OnlineSubsystem\de
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Content\Localization\OnlineSubsystem\en
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Content\Localization\OnlineSubsystem\es
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Content\Localization\OnlineSubsystem\fr
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Content\Localization\OnlineSubsystem\it
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Content\Localization\OnlineSubsystem\ja
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Content\Localization\OnlineSubsystem\ko
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Content\Localization\OnlineSubsystem\pl
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Content\Localization\OnlineSubsystem\pt-BR
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Content\Localization\OnlineSubsystem\ru
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystem\Content\Localization\OnlineSubsystem\zh-Hans
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystemSteam\Config
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystemSteam\Content
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystemSteam\Config\Localization
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystemSteam\Content\Localization
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystemSteam\Content\Localization\OnlineSubsystemSteam
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystemSteam\Content\Localization\OnlineSubsystemSteam\ar
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystemSteam\Content\Localization\OnlineSubsystemSteam\de
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystemSteam\Content\Localization\OnlineSubsystemSteam\en
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online\OnlineSubsystemSteam\Content\Localization\OnlineSubsystemSteam\es
