00:41:52                        Запускается сервис Монитора Установки...
00:41:52                        Версия сервиса: 0x105
00:41:52                        Запускаем 'setup.exe'...
00:41:52                        Монитор установки запущен
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\89\8975e3b4d545fe71ef4cc774fe90f83d.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\8a\8a6e1f4a57f111767f3b82db7f4a9006.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\8b\8bb76cf77c25ff78194718cdf109fd20.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\8c\8c4c0cc4106ac118cfd572d57ba02742.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\90\905dfcd6536f1d83f6a61951490199c7.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\94\949cb5c1af4b1f6d196d97ec2525658f.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\95\958c35c50bfee621f02f20b5f3364b56.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\97\97fd41c2ec0bbe858884f4e0f0729a29.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\9b\9b8be7de4dfb40798d82317ba9d94de8.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\9c\9c0e2e8443ad0d5ce87d8d2de49c8d85.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\9e\9e3c39eae4c93b38bfd19160ca9e8c83.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\9f\9fbb676b6f9b55505cea4d859b22f40e.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\a2\a20d27f8a4f9ba00700b71b0e94b9bf8.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\af\af4970b903d8eb849e6820a5f276dd3f.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\b4\b45ce0e847a272156b9fd110b2b5544d.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\b5\b5136318898edd156c056bc20720aa42.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\b7\b716e4ba1144294770b8989b863145b1.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\b9\b906eb0636e38a03b0fc037dceb2eff9.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\b9\b9af584e80d42bb7ce6269b3f8926219.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\bd\bd16605788df9a59686f2b78dba1d9ef.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\c2\c27bcc3355d50ec2d46792c17bd523e5.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\c2\c2f96958c79e9e0e208c0ccacae0bef2.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\cb\cb3a55a7ee083afa2ed1eb0bb5f06721.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\cb\cbadf93cbbfa57965c4d9a9d3333cc17.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\d0\d0a587e116ca8fc32a748681545ee7f5.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\d3\d317906a7ca8aa3b2abe9d00ca192b7a.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\d3\d3f19f6c6f559e8f372ee4142033751c.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\d5\d55dcb2cd23bd2e6dd7177adad7096e6.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\d8\d86fe7dbf4b365dc7ca7232b0d426b37.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\e2\e2948ba93965553aa493de68b5daabb2.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\eb\eb209f5b781636ba14e129a688f79461.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\eb\ebdc5b8028cdc44ea6a7aa4e858b4502.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\ef\ef67e431f10938bcc5fe003ae14880e9.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\f1\f1af69f9600372c945d46d75c68f69cb.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\f5\f54b230eeb522c0d61bd94f964774351.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\f6\f6351af2c7f94ce65435d6b827fbd104.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\fb\fb52cf7d2be27636104ae81f9cf522f1.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\fb\fb7f47162c721c1039265f25556687ff.caw
